Date,Miners_Revenue,Difficuly,Cost_Per_Transaction,Average_Block_Size,Total_Bitcoins,Average_Transaction_Confirmation_time
29/06/2021,21860395.24082290000,19932791027263.00,106.316605910157,1.4013251666667,18744662.5,19.65
28/06/2021,20581265.55963370000,19932791027263.00,94.453668962697,1.3709456321839,18744087.5,26.05
27/06/2021,13064509.93223400000,19932791027263.00,104.817955168758,1.4248974915254,18743500,17.83333333
26/06/2021,18459502.48536140000,19932791027263.00,101.633572386204,1.4203916067416,18743156.25,16.85833333
25/06/2021,24364896.16472760000,19932791027263.00,111.640111639339,1.3957033818182,18742675,12.44583333
24/06/2021,23766132.38608600000,19932791027263.00,101.879012963443,1.3808627333333,18741987.5,16.7
23/06/2021,23621428.33108720000,19932791027263.00,99.102294616777,1.3926188613861,18741268.75,15.85
22/06/2021,19804046.13029000000,19932791027263.00,100.772154558448,1.3929326923077,18740618.75,15.35
21/06/2021,23126700.27996500000,19932791027263.00,112.785663399000,1.3532359333333,18740043.75,13.7
20/06/2021,23743052.09923930000,19932791027263.00,141.962296332051,1.2623590571429,18739381.25,11.53333333
19/06/2021,23856840.00185820000,19932791027263.00,127.548037349142,1.1876399029126,18738731.25,13.125
18/06/2021,29858234.31511840000,19932791027263.00,133.942679887305,1.1640267258065,18738181.25,10.39166667
17/06/2021,32585835.14384370000,19932791027263.00,137.073657140998,1.1697487076923,18737293.75,9.65
16/06/2021,31780141.80005740000,19932791027263.00,125.644495665155,1.3540078699187,18736612.5,14.05833333
15/06/2021,34465050.94116360000,19932791027263.00,142.499414709951,1.2941622519084,18735756.25,10.21666667
14/06/2021,36421303.12041770000,19932791027263.00,148.213135724589,1.2634614814815,18735087.5,9.275
13/06/2021,31382108.55365280000,20836567779802.50,166.955415331695,1.1749237651515,18734081.25,8.145833333
12/06/2021,31189778.55938220000,21047730572452.00,139.888315315534,1.4897595227273,18733218.75,10.43333333
11/06/2021,25753794.50716800000,21047730572452.00,118.954072050918,1.4018942761905,18732506.25,12.63333333
10/06/2021,28990968.60722530000,21047730572452.00,114.596508884886,1.3114524237288,18731862.5,11.4375
09/06/2021,29082024.72863660000,21047730572452.00,134.170029427863,1.0675692619048,18731031.25,8.179166667
08/06/2021,31680869.69671910000,21047730572452.00,128.311461433578,1.2863488187919,18730256.25,7.633333333
07/06/2021,32065211.20618510000,21047730572452.00,132.764206716566,1.2507247218045,18729456.25,10.59166667
06/06/2021,34551597.29480190000,21047730572452.00,186.457987074293,0.9487187533333,18728506.25,4.979166667
05/06/2021,31004148.54250820000,21047730572452.00,159.338824866421,1.0839169007634,18727700,8.916666667
04/06/2021,32433139.61324540000,21047730572452.00,135.980594823952,1.2901670152672,18726700,9.7
03/06/2021,37237145.28549550000,21047730572452.00,145.673263485768,1.2936538027211,18725912.5,7.883333333
02/06/2021,41033277.73609820000,21047730572452.00,163.497432925179,1.2910964939759,18725137.5,6.045833333
01/06/2021,34238305.81555940000,21047730572452.00,145.967598260407,1.3656506478873,18723925,9.129166667
31/05/2021,33914623.68125530000,21047730572452.00,149.474744289156,1.4406667730496,18723031.25,7.3
30/05/2021,33235125.09114660000,21214345448186.60,184.850107573328,1.4991831736111,18722300,7.254166667
29/05/2021,27237217.13936700000,25046487590083.00,137.331429821546,1.3227263965517,18721431.25,13.47083333
28/05/2021,29892496.43612710000,25046487590083.00,136.926203609195,1.3438724117647,18720625,11.45
27/05/2021,30872457.37497880000,25046487590083.00,144.240228817617,1.2623942820513,18719793.75,11.98333333
26/05/2021,32976616.14112840000,25046487590083.00,142.908721191613,1.3001551639344,18719075,9.441666667
25/05/2021,32577927.94728840000,25046487590083.00,139.434044731679,1.3594626178862,18718318.75,12.575
24/05/2021,32668797.23653620000,25046487590083.00,139.161241449750,1.3459425476190,18717531.25,10.725
23/05/2021,28944158.98421430000,25046487590083.00,148.951003418147,1.3799719495798,18716931.25,10.23333333
22/05/2021,31076144.88179490000,25046487590083.00,138.856768908824,1.2895503362069,18716087.5,16.91666667
21/05/2021,31984319.39648150000,25046487590083.00,141.304078163920,1.2896153545455,18715318.75,13.90416667
20/05/2021,33135536.43756740000,25046487590083.00,145.306445114947,1.3041271875000,18714756.25,11.45
19/05/2021,36558890.15030740000,25046487590083.00,136.744404942949,1.3222856400000,18714031.25,14.03333333
18/05/2021,30628667.24071640000,25046487590083.00,138.579967426709,1.3321869600000,18713275,14.975
17/05/2021,36875391.36590070000,25046487590083.00,146.966607014071,1.3341216280992,18712581.25,11
16/05/2021,41709082.87660850000,25046487590083.00,190.074887217665,1.3717010757576,18711762.5,10.20833333
15/05/2021,41386831.59001040000,25046487590083.00,174.286761740770,1.3477717886179,18711043.75,13.675
14/05/2021,45652932.82442760000,25046487590083.00,171.592087442174,1.3155430373134,18710325,12.225
13/05/2021,53650242.51126900000,23227330060562.50,194.053077748448,1.3115552298137,18709325,7.216666667
12/05/2021,64585949.48483410000,20608845737768.00,214.962621266738,1.3712228837209,18708468.75,6.691666667
11/05/2021,64607298.40009410000,20608845737768.00,206.998376880618,1.3495282209302,18707243.75,7.483333333
10/05/2021,71072062.49632030000,20608845737768.00,234.331571022200,1.3744467444444,18706243.75,7.066666667
09/05/2021,71465404.01503550000,20608845737768.00,288.322738959904,1.3608950322581,18705093.75,6.133333333
08/05/2021,67678884.92096620000,20608845737768.00,246.381879715630,1.3109035263158,18703918.75,7.15
07/05/2021,71663298.61460010000,20608845737768.00,218.461023038865,1.2962967151163,18702787.5,8.545833333
06/05/2021,66659326.27502950000,20608845737768.00,214.077096393569,1.3617653764706,18701800,8.266666667
05/05/2021,61161963.09240890000,20608845737768.00,196.172774980784,1.3476442802548,18700743.75,9.183333333
04/05/2021,68034176.30412350000,20608845737768.00,226.159403186326,1.3364648950276,18699668.75,7.15
03/05/2021,71252796.33298710000,20608845737768.00,247.432176147388,1.4626008474576,18698593.75,6.7
02/05/2021,70637245.50463270000,20608845737768.00,300.310549136670,1.4077522594595,18697456.25,5.9
01/05/2021,56995422.30720240000,23004465874892.80,213.247163237735,1.3459564388489,18696300,10.45
30/04/2021,59389761.30317780000,23581981443664.00,202.697506469956,1.3887697586207,18695525,11.35
29/04/2021,48848197.60179540000,23581981443664.00,188.265074679804,1.3643297377049,18694525,11.575
28/04/2021,56029341.15713470000,23581981443664.00,202.180023372526,1.3116247676056,18693918.75,11.36666667
27/04/2021,57182089.25851060000,23581981443664.00,191.816044663229,1.3166573380282,18692993.75,10.0625
26/04/2021,47389587.56067310000,23581981443664.00,193.687773575318,1.3147731754386,18692137.5,13.1375
25/04/2021,49453312.86948750000,23581981443664.00,205.165564652849,1.3424513687943,18691300,12
24/04/2021,53877732.96517570000,23581981443664.00,185.344294489579,1.3262256896552,18690406.25,13.2
23/04/2021,55567384.88797250000,23581981443664.00,187.898410677178,1.3158200518519,18689443.75,12.1
22/04/2021,64293952.90699840000,23581981443664.00,234.128228786273,1.2761913496503,18688787.5,10.66666667
21/04/2021,49225543.81325490000,23581981443664.00,217.791903465850,1.3068625049505,18687718.75,12.21666667
20/04/2021,62004693.81146110000,23581981443664.00,219.575803910494,1.3298666718750,18687087.5,12.46666667
19/04/2021,47180246.47068430000,23581981443664.00,223.883183085397,1.3054006494845,18686406.25,17.4
18/04/2021,57721965.52335420000,23581981443664.00,205.598432501947,1.2941819596774,18685731.25,14.80833333
17/04/2021,45028087.58663970000,23581981443664.00,231.411694864013,1.3556591758242,18684900,18
16/04/2021,48356808.52401320000,23581981443664.00,220.099809398159,1.3172985533981,18684418.75,10.93333333
15/04/2021,80172244.97007680000,23217560568175.20,215.903905578219,1.3172522732558,18683856.25,9.95
14/04/2021,63141327.40279870000,23137439666472.00,208.971373452518,1.2884584814815,18682668.75,10.9
13/04/2021,61441759.03757180000,23137439666472.00,198.063134161275,1.3377178943662,18681893.75,10.29583333
12/04/2021,59662203.17826630000,23137439666472.00,204.765102595905,1.3456407430556,18680887.5,8.575
11/04/2021,58799840.65956240000,23137439666472.00,229.706617988899,1.3770414137931,18680143.75,9.916666667
